Date,Open,High,Low,Close,Adj Close,Volume
2014-05-22,0,0,0,0,0,0
2014-05-23,0,0,0,0,0,0
2014-05-26,0,0,0,0,0,0
2014-05-27,0,0,0,0,0,0
2014-05-28,0,0,0,0,0,0
2014-05-29,0,0,0,0,0,0
2014-05-30,0,0,0,0,0,0
2014-06-02,0,0,0,0,0,0
2014-06-03,0,0,0,0,0,0
2014-06-04,0,0,0,0,0,0
2014-06-05,79803.000000,79803.000000,79803.000000,79803.000000,79803.000000,0
2014-06-06,80397.500000,80397.500000,80397.500000,80397.500000,80397.500000,0
2014-06-09,80753.796875,80753.796875,80753.796875,80753.796875,80753.796875,0
2014-06-10,81672.000000,81672.000000,81672.000000,81672.000000,81672.000000,0
2014-06-11,0,0,0,0,0,0
2014-06-12,79834.296875,79834.296875,79834.296875,79834.296875,79834.296875,0
2014-06-13,79011.601563,79011.601563,79011.601563,79011.601563,79011.601563,0
2014-06-16,77645.703125,77645.703125,77645.703125,77645.703125,77645.703125,0
2014-06-17,78015.703125,78015.703125,78015.703125,78015.703125,78015.703125,0
2014-06-18,78092.898438,78092.898438,78092.898438,78092.898438,78092.898438,0
2014-06-19,79057.203125,79057.203125,79057.203125,79057.203125,79057.203125,0
2014-06-20,78400.703125,78400.703125,78400.703125,78400.703125,78400.703125,0
2014-06-23,79326.500000,79326.500000,79326.500000,79326.500000,79326.500000,0
2014-06-24,78986.101563,78986.101563,78986.101563,78986.101563,78986.101563,0
2014-06-25,78997.898438,78997.898438,78997.898438,78997.898438,78997.898438,0
2014-06-26,78104.101563,78104.101563,78104.101563,78104.101563,78104.101563,0
2014-06-27,78472.398438,78472.398438,78472.398438,78472.398438,78472.398438,0
2014-06-30,78489.000000,78489.000000,78489.000000,78489.000000,78489.000000,0
2014-07-01,77107.000000,77107.000000,77107.000000,77107.000000,77107.000000,0
2014-07-02,76831.796875,76831.796875,76831.796875,76831.796875,76831.796875,0
2014-07-03,77528.500000,77528.500000,77528.500000,77528.500000,77528.500000,0
2014-07-04,77534.796875,77534.796875,77534.796875,77534.796875,77534.796875,0
2014-07-07,0,0,0,0,0,0
2014-07-08,79290.796875,79290.796875,79290.796875,79290.796875,79290.796875,0
2014-07-09,79458.796875,79458.796875,79458.796875,79458.796875,79458.796875,0
